Sex,Age,Height,Weight,BMI
Male,19,172.0228716,55.57595154,18.78084106
Male,34,174.3441014,61.06505425,20.08994496
Female,23,169.631487,55.29227487,19.21551535
Male,31,177.9307338,70.4776856,22.26128403
Male,21,168.3473392,58.48701665,20.63704316
Female,22,175.7730292,58.55936464,18.95362999
Female,32,175.6024174,63.2640247,20.51617303
Female,24,171.1054744,63.90667437,21.82825029
Female,27,178.0361438,59.68894572,18.83120306
Male,30,178.248564,54.94055935,17.29185215
Male,27,173.2929224,59.65315728,19.86425583
Female,22,173.0484728,61.93708558,20.68310519
Female,20,178.4161024,64.17860299,20.16149258
Female,34,181.5783008,63.77980458,19.34442412
Female,33,175.7801158,50.86643804,16.46236971
Female,26,177.9601724,60.53507692,19.11445763
Male,32,179.2148562,59.78351973,18.61375446
Male,18,168.3675576,54.44401178,19.20586235
Female,34,161.1014558,55.83595069,21.51371948
Female,23,169.5884594,58.12477779,20.21013582
Male,21,174.9740214,52.37898716,17.10844218
Female,19,164.7808236,46.30846975,17.05483838
Male,21,170.4155088,59.12712621,20.35959134
Female,30,173.6029294,60.86492929,20.19545024
Female,21,166.6512542,44.74295465,16.11046232
Female,18,172.0989954,51.96349655,17.54454915
Male,31,172.773848,56.01489288,18.76497605
Female,21,171.8613022,55.81363394,18.89664133
Female,28,168.439084,57.3690929,20.22054038
Female,27,176.3701324,58.24897138,18.72572733
Male,30,162.1440496,57.69427327,21.94477805
Female,29,172.0158358,55.36376103,18.71066581
Male,34,177.9294892,57.8812894,18.28280595
Female,32,178.2724908,59.71194285,18.78854086
Female,24,167.5025352,50.75494504,18.08989763
Male,31,177.81778,55.35595924,17.50711278
Female,19,174.2726766,58.31143105,19.19975175
Male,23,174.7727518,60.18227278,19.70251436
Female,33,177.1957848,61.71722936,19.65622726
Male,34,166.2566906,52.58963546,19.02577752
Female,28,174.8163636,62.09865518,20.31975875
Female,34,167.132762,54.37683475,19.46665176
Female,23,170.7254396,49.44406309,16.96360648
Male,18,176.3273334,58.1825201,18.71344587
Female,31,175.1176584,61.36710141,20.01134338
Male,30,172.57141,48.46897557,16.27521229
Female,31,166.6876524,55.92517231,20.12801684
Female,23,168.9000178,49.67485089,17.41316431
Male,29,172.5373486,54.11751599,18.17908963
Male,21,174.991141,63.61188469,20.77335552
Female,33,178.41214,60.77416546,19.09284801
Female,28,173.3962242,60.13759393,20.00171764
Female,35,180.9282894,59.28397845,18.11026907
Female,18,175.5075738,52.41881257,17.01750826
Female,24,163.5682022,56.15205921,20.98787376
Female,35,180.583459,58.12455099,17.82395974
Male,22,173.2754472,61.67250515,20.5408329
Female,29,167.4297134,52.90125341,18.87128228
Female,34,171.289726,57.52644409,19.60674122
Female,24,187.7087178,68.66993856,19.48939192
Male,35,177.7529846,59.14944295,18.72049691
Male,32,176.5772948,61.78236522,19.81505713
Male,25,165.5682998,51.43687581,18.76379678
Female,27,172.7420726,56.84814206,19.05112119
Female,29,173.579536,57.87140109,19.20735075
Male,22,165.5677918,48.60532544,17.73097668
Female,20,173.3857086,52.8248231,17.57162687
Female,28,174.164371,60.70889352,20.01401416
Female,30,163.821745,51.20608801,19.08002852
Male,19,174.5247462,59.31028681,19.47226675
Male,25,174.9843592,62.48556947,20.40712317
Female,31,176.6318794,56.88211613,18.23215823
Female,31,171.1950856,62.80707575,21.43021376
Female,25,168.8470334,54.8023044,19.22261501
Male,24,167.6709118,63.57273967,22.61288594
Male,29,184.0086236,62.0240846,18.31827296
Female,25,162.8811068,48.13245539,18.14249909
Male,28,180.2920448,72.10131948,22.18148411
Male,19,171.4531496,49.34486244,16.7861664
Male,19,182.918481,62.94764402,18.81329321
Female,19,165.8910322,52.57752454,19.10534271
Female,32,170.3707286,66.35702571,22.86111807
Male,21,163.5543592,49.83914204,18.63145734
Male,32,176.1998762,63.07197369,20.31541695
Female,20,173.6831934,54.38577052,18.02894074
Female,28,165.8878572,58.19903086,21.14886547
Male,20,170.527726,57.71636322,19.84766737
Female,30,173.7224872,52.26772095,17.31896774
Male,26,168.381172,56.6071938,19.96572506
Male,18,170.653964,57.58405032,19.77288152
Female,33,167.6185624,50.47172196,17.96405662
Male,29,176.3621822,55.61446153,17.88040392
Male,27,172.6555602,56.33998253,18.89975118
Male,29,172.1137782,56.53815704,19.08582282
Male,24,165.8077456,54.21195393,19.71904818
Male,18,187.5374456,63.18464603,17.96536647
Female,26,169.7053248,47.54850057,16.50997456
Female,32,169.9110394,55.81109383,19.33204767
Male,22,166.9686272,53.92864013,19.34417591
Male,21,167.5963882,55.10870604,19.61965743
Female,21,169.1232584,54.09034581,18.91096103
Male,24,170.4668676,61.24581081,21.07642479
Female,23,167.3220174,52.72013398,18.8308896
Male,22,169.6229018,49.52008517,17.21127019
Male,22,174.5888558,56.34692249,18.48577574
Male,29,168.2157164,64.03114011,22.62864828
Male,19,167.5375872,58.58149994,20.87067477
Male,19,174.2026488,58.00053884,19.11274371
Female,34,169.1474138,54.85038519,19.17120779
Male,27,170.0929796,57.89952382,20.01256385
Female,19,172.923581,46.02570027,15.39190876
Male,32,178.283235,65.76758243,20.69147175
Female,18,166.4245846,50.32711671,18.17053034
Male,31,171.345987,60.26541626,20.52677879
Female,32,171.221019,66.37802704,22.64178705
Female,27,176.9404132,66.03824099,21.09317419
Female,30,167.1268946,54.81350813,19.62435663
Female,30,167.9081732,52.51751427,18.62777593
Male,26,173.3292698,58.1967629,19.37115562
Female,24,172.7810362,57.82023587,19.36815388
Female,31,181.3317176,58.00362327,17.64038621
Male,18,166.958264,55.11133688,19.77086278
Male,28,168.7412932,51.12657327,17.95578744
Female,24,177.8332486,61.23587713,19.36335177
Male,32,176.4829084,58.36776722,18.73994415
Female,34,174.3142056,56.4297031,18.57131771
Female,34,173.641385,63.5147252,21.06533924
Male,25,173.7113112,53.30572173,17.66518327
Female,25,174.6862902,65.26001256,21.38602282
Female,31,177.605944,64.03377095,20.29993288
Female,33,181.7507668,70.73382921,21.41288489
Female,30,173.8570056,60.78559599,20.11021923
Female,23,169.4535092,59.01123336,20.55105275
Female,28,169.3776902,48.18352989,16.79525945
Female,24,172.5599546,50.82452611,17.06843956
Female,21,175.002317,61.77401912,20.17059815
Female,35,170.9214514,59.52764827,20.37633621
Male,30,176.7131848,59.56715616,19.07521647
Female,30,171.8939666,54.21612698,18.34880306
Male,23,175.365537,53.06871972,17.25641704
Female,19,172.637831,62.83410985,21.08259381
Female,28,167.2331428,49.73721984,17.78432226
Male,32,167.0631152,59.03817674,21.15301623
Female,27,180.6982924,62.19268488,19.04722558
Male,33,172.289597,51.60021442,17.38336753
Female,23,165.276022,52.15064876,19.09152099
Male,19,177.056923,57.93050418,18.47915038
Female,28,177.6217682,55.33699908,17.53976386
Male,18,167.9338526,53.50607348,18.9726107
Male,22,174.2786456,57.9301413,19.07290089
Female,18,175.253904,53.50661779,17.42098127
Female,32,169.6509434,56.7695345,19.72437685
Female,25,172.7800202,64.00306275,21.43947925
Male,28,176.9683532,65.98961589,21.07098791
Female,30,182.4273212,52.64619842,15.81931853
Female,35,184.7767704,61.57325914,18.03424288
Male,32,170.8899554,60.29367506,20.64615577
Female,26,171.221781,52.46349142,17.89532893
Female,33,174.07001,51.85395399,17.11332846
Female,23,173.9170004,67.5634907,22.33718922
Female,21,174.0374218,64.49530119,21.29331651
Male,31,161.8622366,60.82855119,23.21757808
Male,21,171.9702682,64.36140072,21.76302528
Female,19,176.456721,62.93340122,20.21181483
Male,35,169.4230292,60.98504055,21.24608666
Male,32,165.6874004,53.07788228,19.33459749
Male,35,177.5326142,52.46938812,16.64754585
Female,34,177.3694192,61.13994235,19.43426201
Female,31,166.110666,54.69171858,19.82106784
Male,20,173.5382356,54.46895936,18.08669602
Male,29,167.484933,38.26496161,13.64112884
Male,20,178.049047,63.02185173,19.8798164
Female,35,167.7804874,65.10161811,23.12647259
Female,33,173.3164174,55.8529604,18.59376369
Male,33,165.6526532,52.4017575,19.09631531
Male,25,175.6707942,54.87760073,17.7826509
Female,25,171.7056256,54.72469474,18.56157463
Female,31,170.9069734,56.26142033,19.26156815
Male,24,169.7818042,53.17182126,18.44589635
Female,33,172.9303374,58.04158895,19.40874401
Female,29,169.0875714,52.9581339,18.52293561
Male,18,178.2311142,55.33631869,17.41982293
Female,27,172.3418702,56.24327664,18.93605593
Male,29,169.2226486,49.37579744,17.24239789
Male,18,161.7679264,47.4717981,18.14058805
Male,28,172.810424,59.98668375,20.08701937
Female,33,170.03014,57.68941983,19.95468438
Male,19,168.3078168,56.75388557,20.03491681
Female,27,179.654454,60.47384195,18.7366567
Male,19,179.5994376,55.49085761,17.20330974
Female,35,186.1025488,59.08657505,17.0602225
Female,30,162.0271334,52.95377941,20.17074697
Female,27,172.3163686,57.08614198,19.22552209
Female,34,172.1626732,45.64363942,15.3993641
Female,28,170.7870854,53.74820109,18.42698981
Female,21,169.5628054,62.19908053,21.63332599
Female,35,175.3386892,53.84100609,17.5129042
Male,34,174.0573608,56.31988839,18.5899197
Female,21,164.2216426,56.6737358,21.01462159
Male,29,165.463093,57.32904069,20.93981857
Male,28,169.5227496,55.12303956,19.18128499
Male,35,170.1780442,60.46164032,20.87725451
Female,26,178.4759194,57.7909338,18.14266046
Male,33,171.6447164,56.73533364,19.25720487
Male,24,168.4167828,46.63446659,16.44132432
Female,32,175.0238308,60.88171221,19.87435322
Female,27,166.6377922,45.80185243,16.4944012
Female,19,172.7248006,66.17395583,22.18085147
Female,28,177.640361,70.44498159,22.32375679
Male,20,178.170586,62.92119959,19.8209969
Female,24,169.3256456,52.73514789,18.39311154
Female,32,176.2931704,54.70718608,17.60248234
Male,31,169.6871892,51.89473194,18.0229417
Male,34,171.9592192,60.48227877,20.45397558
Female,22,175.6013252,42.0704882,13.64339617
Male,23,171.5457326,59.7755365,20.31253662
Male,28,167.0789648,53.69921311,19.23644817
Male,31,168.2945326,59.48709711,21.00309412
Female,27,171.1715652,59.05922343,20.15695865
Female,33,164.9559058,58.59669529,21.5346542
Female,33,175.9127546,64.92925301,20.98197013
Male,22,175.4565706,62.927187,20.44087872
Male,20,176.8958362,59.39919091,18.98216853
Female,30,175.455707,56.38298309,18.31528024
Female,21,172.7531216,61.40288985,20.57488991
Female,28,174.8958656,56.33562804,18.41724097
Male,27,160.5066132,50.45711629,19.58560903
Female,32,166.5628114,58.69653097,21.15713542
Female,33,175.5673654,57.94388515,18.79838516
Female,34,177.260631,55.0348612,17.51514795
Female,18,171.4043562,53.62291887,18.25186536
Male,26,175.4837486,55.94794264,18.16815521
Male,22,174.124366,68.90603339,22.72681991
Female,32,173.2617058,52.30409906,17.42332632
Male,26,170.437048,55.51263005,19.11015955
Male,29,180.9409894,58.61878524,17.90454996
Male,32,175.5634284,62.72384155,20.35003025
Male,18,166.3661392,65.34292925,23.60854594
Female,20,169.1311324,54.81582145,19.16281601
Female,25,172.7157074,51.39355774,17.22842307
Male,24,184.3467738,67.73163739,19.93062914
Female,21,172.658659,59.25608252,19.87726949
Male,25,169.2236138,55.51380939,19.38561645
Female,34,170.9311796,60.72136731,20.78258088
Male,27,167.5371554,61.15949218,21.78924151
Female,33,169.0118794,62.52149399,21.88746182
Female,31,172.9161642,51.11133256,17.09411158
Male,35,167.2155914,54.97376231,19.66085673
Male,20,175.8625134,52.12964743,16.85538794
Male,32,164.3230902,50.06580215,18.54148475
Female,19,175.8028488,57.16792468,18.49699276
Male,34,170.6065168,53.84177719,18.49816592
Male,22,172.330618,54.11846854,18.2230524
Male,33,175.9556806,68.37437778,22.08448718
Female,28,172.4798938,54.93647702,18.46649062
Female,33,170.37304,53.70828496,18.50291082
Female,21,177.8388874,64.75439315,20.47464068
Male,21,177.9385316,66.05688364,20.86308815
Male,31,180.0025356,57.76158638,17.82716906
Male,20,167.788844,52.60210925,18.68432924
Female,21,165.703123,47.37504685,17.25395979
Female,32,174.602902,62.81823412,20.60550796
Female,30,176.5794284,65.99991244,21.16721215
Male,34,178.5814056,56.42983918,17.69444133
Male,21,170.9415428,56.33009422,19.27728
Male,24,171.7187828,57.22788959,19.40763627
Male,27,172.3533764,62.96429086,21.19606495
Male,33,168.8220144,55.13483296,19.34498617
Male,18,175.0586034,51.82542303,16.91127896
Male,22,173.9109044,58.69585058,19.40681607
Female,20,176.579022,62.39539531,20.01127881
Male,29,178.4084824,61.00799233,19.16709308
Male,24,172.3555354,57.92841765,19.50031875
Male,32,172.731049,52.46743767,17.58529065
Female,34,170.5351682,59.68849212,20.5240572
Male,23,172.9722474,57.87108357,19.34235163
Female,22,175.2365558,57.02613171,18.5705605
Male,32,176.0884972,54.42586809,17.55269907
Male,32,178.0358644,63.89646854,20.15869331
Female,35,174.6073216,62.10423437,20.37027198
Female,34,163.0332782,53.73976427,20.21825879
Female,22,167.8704796,58.76361728,20.85260783
Female,35,175.8802172,68.97842674,22.29871386
Female,30,176.9494048,54.82326036,17.50923469
Female,23,173.8051134,61.73514626,20.43656491
Female,32,173.4467702,58.99472259,19.6101649
Female,19,176.2171736,59.77181704,19.24866049
Male,25,173.617001,63.22170453,20.97404604
Female,23,183.7052206,76.30739081,22.61122667
Female,24,178.7438386,57.89861663,18.1220174
Female,23,166.9523458,59.78383724,21.44861492
Female,35,168.9005258,55.72658957,19.53444058
Male,30,179.8660106,63.59968305,19.65881173
Female,21,171.1345066,64.72441069,22.10005972
Male,22,172.2046086,62.33715405,21.02122146
Male,22,173.128178,57.17041944,19.07376282
Female,27,174.8988628,65.13518394,21.29326157
Female,24,171.9920868,55.61949641,18.80228525
Female,18,164.2365778,49.26212719,18.26307504
Female,24,166.9725134,45.65937907,16.37723378
Male,30,173.7980014,52.68008177,17.44043854
Female,31,174.9792284,63.74301824,20.81901345
Male,20,173.4151218,57.0123425,18.95812888
Male,30,175.718343,60.93237848,19.73396933
Male,19,184.4292984,61.89943741,18.19815627
Male,31,167.7455878,58.00639018,20.61456355
Male,35,175.841152,55.85359543,18.06386217
Female,21,174.9475038,52.76980234,17.24131885
Male,23,168.8094668,56.49860378,19.82643524
Male,23,176.0332776,57.05525234,18.41223869
Male,31,171.6595246,48.80222988,16.56167935
Female,27,176.3221264,64.87441369,20.86701523
Male,29,171.3704218,53.86110023,18.3401974
Female,32,168.7797742,53.9709603,18.94610147
Male,30,174.655099,59.81722164,19.60939592
Male,27,161.9727774,54.14491297,20.63830936
Female,34,175.3530402,57.20811297,18.60507989
Male,35,168.8837364,57.43032787,20.13567323
Female,23,169.5252896,51.50981346,17.92344567
Male,23,171.9426076,52.54472981,17.77307863
Male,30,169.3942764,59.09120169,20.59329659
Female,20,170.2530758,56.9050679,19.63186365
Female,22,167.4138384,53.14537683,18.96196321
Female,32,177.877216,62.2865785,19.68585783
Female,27,175.9452412,67.78697566,21.8973583
Female,35,177.995453,68.52397254,21.62844182
Female,27,164.8699268,53.07003513,19.52391919
Male,20,177.0060976,62.67680402,20.00464757
Female,31,171.6157096,57.88791185,19.65505754
Male,27,162.1924366,54.77191371,20.82079151
Male,33,181.912006,65.43237766,19.77290557
Female,21,165.0744222,47.98730583,17.61032264
Male,26,164.1032786,54.50216232,20.23856582
Male,28,157.5223164,49.48003296,19.94097172
Female,22,165.8243064,57.13948444,20.77975655
Male,34,171.9621402,50.00062093,16.90870047
Male,30,179.9791676,60.99483815,18.82994806
Female,22,173.153705,52.3929578,17.47470513
Female,35,171.3231524,56.74830638,19.33398189
Female,23,180.4472896,52.80327746,16.21663231
Female,25,172.2890128,60.50668204,20.38396617
Female,29,170.5733952,49.32717233,16.95368653
Male,33,173.4893406,60.9621795,20.25421469
Female,26,166.1466832,59.51517448,21.55980735
Male,22,174.415577,59.34430623,19.50783329
Female,18,177.9710182,57.64424203,18.1994339
Male,33,175.6006902,54.16196805,17.56477197
Male,32,170.2327812,47.88193632,16.52288317
Male,20,166.4277596,60.99606285,22.02169716
Female,25,178.3031232,60.1870355,18.93152365
Male,29,171.8783964,57.17894698,19.35504045
Male,27,177.1207278,57.31284745,18.26895585
Female,35,171.7476626,64.57354587,21.89139721
Female,21,179.8215606,56.51184868,17.47658229
Female,23,176.9314216,55.50174383,17.72952952
Male,26,169.5012358,55.89609704,19.45522523
Female,32,171.6534032,59.60426002,20.22893322
Female,32,165.7430518,56.38320988,20.52483387
Male,30,179.6132298,58.23382139,18.05091253
Male,32,181.0352996,62.07547661,18.94061381
Male,28,169.0601902,53.54970907,18.73591579
Female,33,172.8278738,55.11006682,18.45031902
Male,20,173.0171546,54.10499685,18.07421989
Female,24,180.941218,57.40415559,17.53350859
Female,24,169.9866298,58.62577056,20.28894914
Female,18,180.6036774,61.13536107,18.74303084
Male,29,176.3132364,66.25737147,21.31399622
Female,22,175.6868978,73.66834504,23.86726644
Male,29,174.186215,59.05251026,19.46306871
Male,30,176.792001,59.96223512,19.18461582
Male,25,175.3892098,57.81447525,18.79452533
Female,30,173.4489546,56.85626137,18.89885279
Male,19,175.9020104,61.12424805,19.75479102
Male,19,173.3260948,55.3108268,18.41122828
Male,21,171.924472,57.00240883,19.28494154
Male,24,174.8557082,66.20452796,21.65352376
Female,26,176.5823494,54.39511453,17.4447934
Female,32,170.1207672,50.57976766,17.47683079
Female,25,182.893462,62.9023755,18.80490751
Male,23,171.3098428,61.24181919,20.8681508
Male,24,167.7978356,52.84759344,18.76951378
Male,23,166.559738,56.2261762,20.26744521
Female,35,173.4863434,62.12038226,20.63973178
Male,30,180.4061162,69.43578392,21.3344448
Female,21,179.7528028,57.3145711,17.73839092
Female,27,171.4706248,65.79874422,22.37889615
Female,18,176.5537744,61.31384966,19.67003299
Male,33,168.77157,49.35357141,17.32688612
Female,21,174.165006,50.12898757,16.52599632
Female,30,170.2129184,62.71753661,21.64733672
Male,25,174.4981016,54.20932309,17.80299573
Male,20,173.3045302,52.30890714,17.41631746
Female,23,178.8341102,60.04129627,18.77369941
Female,33,166.8777206,42.63513359,15.3098673
Male,33,166.885874,57.78998126,20.7498
Female,31,173.940597,60.91854391,20.13483699
Female,33,169.2374314,56.68639102,19.7918538
Male,26,169.780839,56.27811253,19.52372533
Female,28,177.5392436,60.57617239,19.21824007
Female,20,171.841922,60.84982467,20.60637527
Female,35,173.5052918,59.07990724,19.62523524
Male,21,177.1611392,62.63815795,19.95733583
Female,34,174.1908124,57.42769703,18.92654875
Female,22,173.0877158,59.78692167,19.95603312
Male,25,172.6715622,59.75458053,20.0414935
Male,34,164.656389,53.35430147,19.67944205
Male,21,175.787939,57.24077162,18.52370463
Male,23,175.934624,57.83901459,18.68610425
Male,31,180.188362,64.62716049,19.90499701
Male,24,175.4587804,63.25073444,20.54546035
Female,27,168.1526482,50.0404917,17.69761171
Female,27,180.4867866,59.85337295,18.37377189
Male,25,175.2471222,58.6058125,19.0826822
Male,19,180.2406606,56.40480088,17.36245152
Male,26,167.7033984,57.39081997,20.40606283
Female,34,177.454814,67.68972545,21.49550726
Female,24,169.7431708,64.48164806,22.37958477
Male,22,175.4993696,57.67136685,18.72447456
Female,20,169.708195,55.49035866,19.26692557
Female,27,170.5148482,51.1043926,17.57657865
Male,18,164.0186712,60.90144348,22.63818083
Female,23,174.4481652,54.74569607,17.98944175
Male,32,171.5445896,52.51828538,17.84666225
Male,33,180.7903928,58.37076093,17.85850808
Male,34,179.1592556,61.12660673,19.04374273
Female,34,181.6966394,53.67898289,16.25964297
Male,33,169.6034454,48.15141555,16.73941339
Female,27,168.4943544,57.32604698,20.19211467
Female,34,164.670613,51.8780851,19.13164217
Male,32,173.6914738,59.09342429,19.58766522
Female,22,172.8479652,55.93093293,18.72078421
Female,25,175.4923846,55.72704316,18.0946408
Male,27,177.5725684,57.01347648,18.08115992
Male,22,173.7547198,50.67747146,16.78580731
Female,21,173.5469986,56.9492478,18.90837881
Male,30,170.067097,54.41756735,18.8147756
Female,32,179.1923264,60.14829871,18.7320388
Male,25,176.220247,60.17982338,19.37937712
Female,26,171.5011048,53.2753764,18.11311728
Female,19,164.7734068,46.20060549,17.01664511
Female,34,175.6002584,58.26022047,18.89393161
Female,29,174.7822768,60.8001563,19.90262808
Female,28,171.6137284,57.94692422,19.67554867
Male,26,173.1460088,57.8861882,19.30858724
Female,27,167.1494498,63.22946096,22.63133082
Male,32,164.9038104,51.68145281,19.00526144
Female,25,173.6238336,66.91340211,22.19703392
Female,27,169.4572684,60.17007114,20.95369599
Female,31,175.7221784,60.24337167,19.50997126
Male,27,167.355393,47.66992725,17.02023616
Female,34,167.7348182,57.84150935,20.55860721
Male,26,176.3825276,59.29835733,19.06040198
Male,22,170.5571138,58.32358732,20.04957026
Female,27,166.8638268,55.59677143,19.96759182
Male,32,176.3451642,71.34831079,22.94336437
Female,23,169.0243762,54.93443585,19.22854849
Male,23,175.3735126,66.90764149,21.75445644
Male,27,171.7557144,53.29392833,18.06574433
Female,21,176.761267,60.07703935,19.22803158
Male,33,173.0335122,53.60436695,17.90359486
Female,30,180.9150814,56.12384577,17.14740459
Female,23,168.739439,59.13256932,20.76797079
Female,34,168.4479232,55.74114988,19.64468721
Male,25,172.7891896,48.92869144,16.38818968
Male,22,173.450504,53.79197275,17.87997289
Female,32,169.9668686,56.99238444,19.72826066
Female,35,182.3096684,67.40455193,20.28011159
Male,22,167.755189,68.16540777,24.2221466
Female,23,175.296957,57.63698455,18.75655235
Male,34,174.5168976,58.38287185,19.1695096
Male,30,165.13048,53.71590531,19.69921542
Female,25,167.7887678,56.87499473,20.20208139
Male,26,180.7566362,67.70664445,20.72255523
Female,18,171.5839596,48.69241517,16.53897007
Female,30,174.839757,60.644937,19.83876702
Female,30,173.0199994,56.63137027,18.91755365
Female,23,172.4794112,51.12113016,17.18408614
Female,20,171.807759,57.9875661,19.64490129
Male,28,177.2483628,60.85463275,19.37000343
Female,29,172.7171806,62.86930862,21.07502608
Female,21,176.313211,57.17259668,18.39156661
Female,31,178.8919206,58.77903942,18.36714047
Female,30,171.8949826,60.82918622,20.58667091
Male,34,172.4161144,48.13753563,16.19305021
Female,32,172.895387,57.63167752,19.27946443
Male,20,170.165649,55.30384148,19.09906148
Male,23,181.8053006,68.37292628,20.68576573
Male,23,163.4887256,52.61948183,19.68663397
Male,26,172.5424794,56.91441191,19.11748245
Male,26,177.5933202,59.69724646,18.92786208
Male,31,177.6441456,58.54498576,18.55190117
Male,20,169.6660564,58.564082,20.34426131
Female,34,178.0824226,67.20533416,21.19152209
Male,31,175.1282756,47.80319269,15.58636625
Female,22,172.7933044,50.14223246,16.79385359
Male,21,176.1781592,53.8142895,17.3378001
Female,29,173.8601044,55.70799228,18.42969513
Female,34,166.8851628,56.64779031,20.33986363
Male,29,176.6741196,61.58400928,19.72979642
Male,30,167.249729,52.82368912,18.88419165
Male,20,174.7515682,56.86311061,18.6203983
Male,21,175.357409,60.38312348,19.63667042
Male,29,171.1033408,62.7467026,21.43257964
Male,30,178.7090152,56.47098001,17.68206236
Male,33,177.5162312,62.01537562,19.67993942
Male,26,165.4891026,52.17006251,19.04947766
Female,21,176.2990378,60.16294974,19.35663022
Male,23,174.0121996,64.92371918,21.44097417
Female,28,166.9174208,61.11803384,21.93646079
Male,32,162.5170232,55.62158293,21.05940725
Female,35,177.995199,69.65518655,21.98555328
Female,23,173.8005668,57.28372681,18.96397633
Male,23,173.321091,61.10823624,20.34217739
Male,25,172.2845424,61.05294333,20.56906237
Male,35,168.4344358,53.70284185,18.92936356
Male,32,177.1682512,55.0206184,17.52888078
Female,23,166.9008854,60.00319451,21.54059065
Male,24,169.8809658,63.07732608,21.85668779
Female,29,170.888914,50.21176817,17.19405263
Male,19,179.4092678,69.90189544,21.71699449
Female,22,177.641758,56.31766579,17.84658142
Female,29,167.3268434,61.01602091,21.79280648
Female,30,184.0152276,62.71467898,18.52090456
Male,35,177.9791208,67.62159588,21.34753913
Male,35,171.9195444,57.60963293,19.49149368
Female,24,167.932354,53.44325094,18.9506728
Male,27,177.656617,67.54425838,21.40061127
Female,33,173.3376518,58.15739108,19.35617833
Female,29,174.7556576,58.82839027,19.26304735
Female,23,169.2101772,56.95641456,19.89253809
Male,24,178.2750054,58.42029322,18.38160089
Male,35,166.5978634,56.33027565,20.2956768
Male,33,174.4869764,68.68145981,22.55869642
Male,22,164.8114306,48.52544782,17.86468694
Male,21,177.3426222,66.05307346,21.00232116
